"","data_source","bibliographicCitation","type","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","taxonomicStatus","acceptedScientificName","scientificNameAuthorship","dayIdentified","monthIdentified","verbatimLatitude","verbatimLongitude","yearIdentified","country"
"108788","gbif","","Collection","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","CSIC-Real Jardín Botánico-Colección de Plantas Vasculares (MA)","PRESERVED_SPECIMEN","MA-01-00813136","","","",NA,NA,NA,NA,"","","","","","","","[Sin datos de localidad]","","",NA,NA,NA,"","Melchior",NA,"","Urvillea ulmacea Kunth","Sapindaceae","Urvillea","SPECIES","ACCEPTED","Urvillea ulmacea Kunth","Kunth",NA,NA,NA,NA,NA,NA
"117934","gbif","","Collection","","","Universidade Federal da Bahia","ALCB","ALCB - Herbário Alexandre Leal Costa","PRESERVED_SPECIMEN","76674","8508","Lyra-Lemos, RP de; Cavalcante, F; Bonfim, M; Rodrigues, E","frutos vermelhos.","2004-08-22 00:00:00","2004","8","22","","","","BR","Alagoas","","São Luis do Quitunde","Mata Garabu. Faz. Sto. Antonio I","","","-9.257222","-35.08556",NA,"","Somner; Ferrucci","2009-06-26","","Paullinia pinnata L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pinnata L.","L.",NA,NA,NA,NA,NA,NA
"58372","gbif","","Collection","","","USP","SPF","SPF - Herbário da Universidade de São Paulo","PRESERVED_SPECIMEN","154028","28253","Harley, RM","","1996-09-05 00:00:00","1996","9","5","","","","BR","Bahia","","Piatã","","","","-12.86667","-41.83333",NA,"","Harley, RM",NA,"","Urvillea ulmacea Kunth","Sapindaceae","Urvillea","SPECIES","ACCEPTED","Urvillea ulmacea Kunth","Kunth",NA,NA,NA,NA,NA,NA
"26198","gbif","http://www.tropicos.org/Specimen/169264","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","169264","McPherson 7578","Gordon McPherson","","1985-11-23 00:00:00","1985","11","23","","","","PA","Colón","","","Near beginning of road leading to Santa Rita Ridge.","","","9.334167","-79.78556",NA,"","",NA,"","Paullinia stipitata Cuatrec.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia stipitata Cuatrec.","Cuatrec.",NA,NA,NA,NA,NA,NA
"87072","gbif","http://www.tropicos.org/Specimen/1458220","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","1458220","Stevens 18699","W. D. Stevens","","1980-12-12 00:00:00","1980","12","12","","","","NI","Atlántico Norte","","","Along road from Siuna to El Dos, ca. 1 km E of Cerro Livico; roadside and slope with second growth evergreen forest, with scattered limestone boulders exposed.","","","13.76667","-84.78333",NA,"","R.L. Robbins","1987-01-01","","Serjania mexicana (L.) Willd.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania mexicana (L.) Willd.","(L.) Willd.",NA,NA,NA,NA,NA,NA
"14621","gbif","Avendaño-Reyes, S., I. Acosta R. 2019. Digitalización y sistematización de las colecciones biológicas del INECOL. Instituto Nacional de Ecología, A.C. Base de datos SNIB-CONABIO_Herbario XAL, Proyectos No. ME014, AA002, U021, L090, K004, E008 y P026. Ciudad de México","Event","50","c0e728a3f406abcb75bbc405bfb26cea","INECOL","XAL","Digitalización y sistematización de las colecciones biológicas del INECOL (Herbario)","PRESERVED_SPECIMEN","97059","","P. Zamora C.","NO DISPONIBLE","1989-12-12 00:00:00","1989","12","12","","Orilla de cañaveral","","MX","Veracruz de ignacio de la llave","XALAPA","","Xalapa, SE del Tronconal","","","19.535","-96.825",NA,"","P. Zamora C.",NA,"","Paullinia fuscescens Kunth","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia fuscescens Kunth","Kunth",NA,NA,NA,NA,NA,NA
"99731","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","2544447","227","R. M. Laughlin","","1966-02-25 00:00:00","1966","2","25","25 Feb 1966","Wooded slope.","","MX","Chiapas","Chiapilla","","Mun. of Chiapilla: Along the Río Grijalva near Chiapilla on the road from Acala.","","",NA,NA,NA,"","",NA,"","Paullinia tomentosa Jacq.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia tomentosa Jacq.","Jacq.",NA,NA,NA,NA,NA,NA
"83263","gbif","","","","","","Botany","Naturalis Biodiversity Center (NL) - Botany","PRESERVED_SPECIMEN","U  0282441","Mathias, ME; Taylor, D  3525","Mathias ME; Taylor D","","1959-07-02 00:00:00","1959","7","2","","","","PE","Loreto","","","Peru, Loreto","","",NA,NA,NA,"","",NA,"","Paullinia L.","Sapindaceae","Paullinia","GENUS","ACCEPTED","Paullinia L.","L.",NA,NA,NA,NA,NA,NA
"34125","gbif","","PreservedSpecimen","TAIF:PLANT:321549:1:1:423759","","TAIF","PLANT","Herbarium of Taiwan Forestry Research Institute","PRESERVED_SPECIMEN","423759","s. n.","Li-Hsun Yen","","2002-04-25 00:00:00","2002","4","25","","","","TW","","Hualien County","","Chiali Village","Chiali Village","",NA,NA,NA,"","Ming-Jer Jung",NA,"","Cardiospermum halicacabum L.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum halicacabum L.","L.",NA,NA,NA,NA,NA,NA
"42686","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","195780","29329","G. T. Prance","NYBG - Plants of Mexico (funded also by NSF)","1984-10-28 00:00:00","1984","10","28","28 Oct 1984","Roadside","","MX","Yucatán","","","1km N of Hulacho, Campeche Road to Merida","","","20.48556","-90.07",NA,"","G. Sommer","2010-01-01","","Paullinia rufescens Rich. ex Juss.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia rufescens Rich. ex Juss.","Rich. ex Juss.",NA,NA,NA,NA,NA,NA
"64599","gbif","","Collection","","","Empresa Brasileira de Pesquisa Agropecuária","CPAP","CPAP - Herbário CPAP","PRESERVED_SPECIMEN","24122","12754","Pott, A.","Erva prostrada ou escandente...Ocasional..Campo cerrado subúmido perturbado. Solo: argiloso.-arenoso vermelho-amarelo. Relevo:quase plano..","2005-03-21 00:00:00","2005","3","21","","","","BR","Ms","","Campo Grande","Rodovia BR-160 Km 372, 17 Km S de Campo Grande","","","-20.63538","-54.75286",NA,"","",NA,"","Cardiospermum L.","Sapindaceae","Cardiospermum","GENUS","ACCEPTED","Cardiospermum L.","L.",NA,NA,NA,NA,NA,NA
